Series_Title,Overview,concatenated_text
Citizen Kane,Following the death of publishing tycoon Charles Foster Kane reporters scramble to uncover the meaning of his final utterance Rosebud,Citizen Kane Following the death of publishing tycoon Charles Foster Kane reporters scramble to uncover the meaning of his final utterance Rosebud
M Eine Stadt sucht einen Mrder,When the police in a German city are unable to catch a childmurderer other criminals join in the manhunt,M Eine Stadt sucht einen Mrder When the police in a German city are unable to catch a childmurderer other criminals join in the manhunt
Metropolis,In a futuristic city sharply divided between the working class and the city planners the son of the citys mastermind falls in love with a workingclass prophet who predicts the coming of a savior to mediate their differences,Metropolis In a futuristic city sharply divided between the working class and the city planners the son of the citys mastermind falls in love with a workingclass prophet who predicts the coming of a savior to mediate their differences
The Kid,The Tramp cares for an abandoned child but events put that relationship in jeopardy,The Kid The Tramp cares for an abandoned child but events put that relationship in jeopardy
Chhichhore,A tragic incident forces Anirudh a middleaged man to take a trip down memory lane and reminisce his college days along with his friends who were labelled as losers,Chhichhore A tragic incident forces Anirudh a middleaged man to take a trip down memory lane and reminisce his college days along with his friends who were labelled as losers
Uri The Surgical Strike,Indian army special forces execute a covert operation avenging the killing of fellow army men at their base by a terrorist group,Uri The Surgical Strike Indian army special forces execute a covert operation avenging the killing of fellow army men at their base by a terrorist group
KGF Chapter,In the s a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people,KGF Chapter In the s a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people
Green Book,A workingclass ItalianAmerican bouncer becomes the driver of an AfricanAmerican classical pianist on a tour of venues through the s American South,Green Book A workingclass ItalianAmerican bouncer becomes the driver of an AfricanAmerican classical pianist on a tour of venues through the s American South
Three Billboards Outside Ebbing Missouri,A mother personally challenges the local authorities to solve her daughters murder when they fail to catch the culprit,Three Billboards Outside Ebbing Missouri A mother personally challenges the local authorities to solve her daughters murder when they fail to catch the culprit
Talvar,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide,Talvar An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide
Baahubali The Conclusion,When Shiva the son of Bahubali learns about his heritage he begins to look for answers His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom,Baahubali The Conclusion When Shiva the son of Bahubali learns about his heritage he begins to look for answers His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom
Klaus,A simple act of kindness always sparks another even in a frozen faraway place When Smeerensburgs new postman Jesper befriends toymaker Klaus their gifts melt an ageold feud and deliver a sleigh full of holiday traditions,Klaus A simple act of kindness always sparks another even in a frozen faraway place When Smeerensburgs new postman Jesper befriends toymaker Klaus their gifts melt an ageold feud and deliver a sleigh full of holiday traditions
Drishyam,Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime,Drishyam Desperate measures are taken by a man who tries to save his family from the dark side of the law after they commit an unexpected crime
Queen,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled,Queen A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled
